14121,location 118,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-19 - 19 - ,-resource_type 2 - ,-severity_type 2 - ,1
17240,location 1100,-event_type 15 - event_type 11 - ,-feature 203 - feature 82 - feature 193 - feature 71 - feature 68 - ,-28 - 78 - 2 - 3 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,2
1444,location 1052,-event_type 11 - event_type 15 - ,-feature 80 - feature 203 - feature 201 - feature 82 - ,-3 - 1 - 3 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
4903,location 457,-event_type 35 - event_type 34 - ,-feature 316 - feature 232 - feature 236 - feature 233 - feature 235 - feature 313 - feature 312 - feature 315 - ,-9 - 1 - 4 - 25 - 6 - 26 - 1 - 14 - ,-resource_type 2 - ,-severity_type 2 - ,0
8831,location 1008,-event_type 15 - ,-feature 82 - feature 80 - ,-57 - 3 - ,-resource_type 8 - ,-severity_type 2 - ,0
15613,location 653,-event_type 15 - event_type 11 - ,-feature 201 - feature 80 - feature 203 - feature 82 - ,-3 - 8 - 12 - 46 - ,-resource_type 8 - ,-severity_type 1 - ,0
15681,location 707,-event_type 15 - event_type 26 - ,-feature 349 - feature 71 - feature 276 - ,-1 - 2 - 1 - ,-resource_type 9 - resource_type 8 - ,-severity_type 2 - ,0
15917,location 91,-event_type 34 - event_type 35 - ,-feature 315 - feature 235 - ,-270 - 208 - ,-resource_type 2 - ,-severity_type 2 - ,0
13650,location 732,-event_type 11 - ,-feature 171 - feature 55 - ,-3 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,0
15137,location 149,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - feature 307 - feature 235 - feature 315 - ,-1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
15071,location 943,-event_type 11 - event_type 32 - ,-feature 280 - feature 170 - feature 54 - ,-4 - 2 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,1
17838,location 481,-event_type 34 - event_type 35 - ,-feature 310 - feature 230 - feature 308 - feature 228 - ,-29 - 27 - 28 - 27 - ,-resource_type 2 - ,-severity_type 2 - ,0
16197,location 891,-event_type 11 - ,-feature 73 - feature 195 - ,-14 - 11 - ,-resource_type 8 - ,-severity_type 1 - ,0
11374,location 893,-event_type 44 - event_type 50 - event_type 43 - event_type 42 - ,-feature 283 - feature 376 - feature 291 - feature 290 - feature 368 - feature 374 - feature 375 - ,-9 - 13 - 11 - 4 - 15 - 1 - 10 - ,-resource_type 2 - ,-severity_type 1 - ,0
6729,location 894,-event_type 42 - event_type 44 - event_type 43 - ,-feature 291 - feature 376 - feature 375 - feature 290 - feature 283 - feature 368 - ,-5 - 8 - 7 - 1 - 4 - 8 - ,-resource_type 2 - ,-severity_type 1 - ,0
1678,location 120,-event_type 35 - ,-feature 312 - feature 307 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - ,0
13983,location 505,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - feature 313 - feature 235 - feature 315 - ,-71 - 68 - 2 - 2 - 3 - ,-resource_type 2 - ,-severity_type 2 - ,0
489,location 72,-event_type 11 - ,-feature 171 - feature 55 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,1
7677,location 418,-event_type 35 - ,-feature 301 - ,-4 - ,-resource_type 2 - ,-severity_type 4 - ,0
9002,location 925,-event_type 11 - ,-feature 182 - feature 170 - feature 207 - ,-1 - 8 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
4511,location 646,-event_type 11 - ,-feature 68 - feature 80 - feature 201 - ,-1 - 3 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,1
15976,location 1091,-event_type 13 - event_type 11 - event_type 18 - ,-feature 273 - feature 265 - feature 340 - feature 68 - ,-1 - 1 - 1 - 1 - ,-resource_type 8 - resource_type 10 - resource_type 6 - ,-severity_type 1 - ,0
7573,location 797,-event_type 11 - ,-feature 62 - feature 207 - feature 182 - feature 54 - feature 86 - feature 170 - ,-1 - 1 - 1 - 7 - 1 - 7 - ,-resource_type 8 - ,-severity_type 1 - ,1
14009,location 376,-event_type 35 - ,-feature 301 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - ,0
1749,location 641,-event_type 50 - ,-feature 374 - feature 289 - ,-2 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,1
14680,location 1075,-event_type 15 - ,-feature 82 - ,-12 - ,-resource_type 8 - ,-severity_type 2 - ,0
17897,location 475,-event_type 35 - event_type 34 - ,-feature 314 - feature 234 - ,-24 - 23 - ,-resource_type 2 - ,-severity_type 2 - ,0
12479,location 1107,-event_type 11 - event_type 15 - ,-feature 82 - feature 193 - feature 203 - feature 71 - ,-4 - 3 - 4 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,1
10638,location 527,-event_type 34 - ,-feature 235 - ,-1 - ,-resource_type 2 - ,-severity_type 2 - ,0
8693,location 892,-event_type 21 - event_type 51 - ,-feature 135 - feature 292 - feature 377 - feature 220 - ,-1 - 95 - 3 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
8335,location 684,-event_type 15 - event_type 11 - ,-feature 71 - feature 203 - feature 82 - ,-1 - 38 - 46 - ,-resource_type 8 - ,-severity_type 1 - ,2
9836,location 957,-event_type 11 - ,-feature 171 - feature 55 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 2 - ,0
213,location 497,-event_type 34 - event_type 35 - ,-feature 233 - feature 232 - feature 312 - feature 313 - ,-73 - 154 - 113 - 66 - ,-resource_type 2 - ,-severity_type 2 - ,0
207,location 506,-event_type 35 - event_type 34 - ,-feature 233 - feature 313 - feature 312 - feature 232 - ,-3 - 3 - 104 - 123 - ,-resource_type 2 - ,-severity_type 2 - ,0
8368,location 1053,-event_type 15 - ,-feature 80 - ,-2 - ,-resource_type 8 - ,-severity_type 2 - ,0
14328,location 704,-event_type 11 - event_type 15 - ,-feature 82 - feature 203 - feature 71 - ,-19 - 13 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,2
1803,location 1023,-event_type 11 - ,-feature 73 - ,-2 - ,-resource_type 8 - ,-severity_type 2 - ,0
3962,location 506,-event_type 35 - event_type 34 - ,-feature 233 - feature 313 - feature 232 - feature 312 - ,-1 - 1 - 18 - 13 - ,-resource_type 2 - ,-severity_type 2 - ,0
5825,location 122,-event_type 34 - event_type 35 - ,-feature 312 - feature 313 - feature 315 - feature 307 - feature 233 - feature 232 - feature 235 - feature 227 - ,-5 - 11 - 2 - 1 - 12 - 5 - 3 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
4676,location 161,-event_type 35 - ,-feature 312 - ,-2 - ,-resource_type 2 - ,-severity_type 4 - ,0
7467,location 518,-event_type 34 - event_type 35 - ,-feature 315 - feature 233 - feature 313 - feature 312 - feature 235 - ,-4 - 8 - 6 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
5721,location 495,-event_type 35 - event_type 34 - ,-feature 233 - feature 312 - feature 315 - feature 314 - feature 228 - feature 235 - feature 313 - feature 229 - feature 308 - feature 232 - feature 310 - feature 311 - feature 227 - feature 307 - feature 309 - feature 316 - feature 234 - ,-82 - 69 - 10 - 3 - 3 - 2 - 74 - 10 - 6 - 98 - 1 - 1 - 2 - 6 - 7 - 2 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
9589,location 734,-event_type 11 - event_type 15 - ,-feature 193 - feature 203 - feature 82 - feature 71 - ,-5 - 2 - 10 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,1
5320,location 1019,-event_type 15 - event_type 11 - ,-feature 82 - feature 203 - feature 201 - feature 80 - ,-64 - 9 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,2
8972,location 998,-event_type 11 - ,-feature 170 - feature 54 - feature 209 - feature 87 - ,-5 - 5 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
5417,location 918,-event_type 11 - ,-feature 54 - feature 170 - ,-4 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
4487,location 938,-event_type 11 - ,-feature 81 - feature 202 - ,-12 - 14 - ,-resource_type 8 - ,-severity_type 1 - ,0
16035,location 152,-event_type 35 - ,-feature 301 - ,-2 - ,-resource_type 2 - ,-severity_type 4 - ,0
14132,location 102,-event_type 35 - ,-feature 310 - feature 315 - feature 308 - feature 313 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 4 - ,0
16266,location 122,-event_type 34 - event_type 35 - ,-feature 315 - feature 235 - feature 313 - feature 232 - feature 312 - feature 233 - ,-2 - 1 - 4 - 3 - 3 - 3 - ,-resource_type 2 - ,-severity_type 2 - ,0
12742,location 280,-event_type 35 - event_type 34 - ,-feature 233 - feature 235 - feature 312 - feature 232 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
12998,location 288,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-2 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
8328,location 953,-event_type 20 - ,-feature 219 - feature 134 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
11923,location 350,-event_type 34 - event_type 35 - ,-feature 301 - feature 232 - feature 312 - ,-1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
5371,location 704,-event_type 15 - ,-feature 203 - feature 82 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 2 - ,1
15099,location 1019,-event_type 15 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - ,0
15237,location 33,-event_type 10 - ,-feature 150 - feature 153 - feature 35 - ,-1 - 1 - 1 - ,-resource_type 3 - ,-severity_type 5 - ,1
15134,location 1061,-event_type 15 - event_type 11 - ,-feature 82 - feature 201 - feature 80 - ,-8 - 2 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
6162,location 821,-event_type 15 - event_type 11 - ,-feature 71 - feature 203 - feature 82 - feature 193 - ,-2 - 7 - 13 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,2
16660,location 1099,-event_type 11 - ,-feature 70 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - ,0
14687,location 742,-event_type 54 - event_type 15 - event_type 11 - ,-feature 25 - feature 111 - feature 362 - feature 80 - feature 360 - ,-20 - 346 - 1 - 349 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,0
8488,location 826,-event_type 14 - event_type 11 - ,-feature 68 - ,-4 - ,-resource_type 8 - resource_type 4 - ,-severity_type 1 - ,2
624,location 165,-event_type 34 - ,-feature 227 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
14426,location 793,-event_type 11 - ,-feature 73 - feature 195 - ,-11 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,0
7855,location 834,-event_type 11 - event_type 15 - ,-feature 82 - feature 203 - feature 71 - ,-20 - 14 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,2
12538,location 976,-event_type 15 - ,-feature 203 - feature 82 - ,-2 - 4 - ,-resource_type 8 - ,-severity_type 2 - ,1
10795,location 810,-event_type 15 - ,-feature 203 - feature 68 - feature 82 - feature 193 - feature 71 - ,-14 - 1 - 20 - 3 - 3 - ,-resource_type 8 - ,-severity_type 2 - ,2
13979,location 533,-event_type 10 - event_type 27 - ,-feature 154 - feature 39 - feature 240 - ,-2 - 1 - 2 - ,-resource_type 3 - resource_type 9 - ,-severity_type 4 - ,0
6465,location 800,-event_type 11 - ,-feature 195 - feature 73 - ,-4 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
5648,location 292,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - feature 313 - feature 233 - ,-3 - 1 - 4 - 4 - ,-resource_type 2 - ,-severity_type 2 - ,0
11932,location 338,-event_type 35 - ,-feature 307 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - ,0
9048,location 957,-event_type 11 - ,-feature 81 - feature 202 - ,-4 - 4 - ,-resource_type 8 - ,-severity_type 2 - ,2
13340,location 810,-event_type 11 - event_type 15 - ,-feature 71 - feature 203 - feature 82 - feature 193 - ,-3 - 7 - 8 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,0
477,location 1042,-event_type 15 - ,-feature 203 - feature 82 - ,-2 - 23 - ,-resource_type 8 - ,-severity_type 2 - ,1
5989,location 1075,-event_type 15 - event_type 11 - event_type 38 - ,-feature 183 - feature 82 - feature 317 - feature 203 - ,-2 - 8 - 1 - 3 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,2
13341,location 102,-event_type 35 - event_type 34 - ,-feature 308 - feature 228 - feature 310 - feature 230 - ,-6 - 6 - 6 - 6 - ,-resource_type 2 - ,-severity_type 2 - ,0
3063,location 653,-event_type 11 - event_type 15 - ,-feature 80 - feature 201 - feature 82 - feature 203 - ,-10 - 8 - 170 - 72 - ,-resource_type 8 - ,-severity_type 1 - ,2
8427,location 126,-event_type 34 - event_type 35 - ,-feature 307 - feature 227 - feature 235 - feature 233 - feature 315 - feature 313 - feature 312 - feature 232 - ,-2 - 1 - 1 - 3 - 1 - 3 - 3 - 2 - ,-resource_type 2 - ,-severity_type 2 - ,0
4573,location 664,-event_type 11 - ,-feature 55 - feature 171 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
8371,location 830,-event_type 11 - ,-feature 54 - feature 68 - feature 170 - feature 209 - ,-1 - 2 - 1 - 3 - ,-resource_type 8 - ,-severity_type 1 - ,2
18203,location 798,-event_type 15 - ,-feature 82 - ,-6 - ,-resource_type 8 - ,-severity_type 2 - ,0
14179,location 836,-event_type 11 - ,-feature 73 - feature 195 - ,-4 - 5 - ,-resource_type 8 - ,-severity_type 2 - ,0
11179,location 1107,-event_type 11 - event_type 15 - ,-feature 71 - feature 193 - feature 82 - ,-7 - 2 - 22 - ,-resource_type 8 - ,-severity_type 1 - ,0
1107,location 1107,-event_type 15 - event_type 11 - ,-feature 82 - feature 71 - feature 80 - feature 203 - ,-28 - 4 - 2 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,1
4261,location 443,-event_type 35 - event_type 11 - ,-feature 94 - feature 44 - ,-1 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - ,0
5280,location 1,-event_type 15 - event_type 11 - ,-feature 172 - feature 82 - feature 203 - feature 80 - ,-2 - 6 - 1 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,1
11386,location 356,-event_type 35 - event_type 34 - ,-feature 314 - feature 312 - feature 307 - feature 229 - feature 309 - feature 234 - ,-1 - 1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
8288,location 1061,-event_type 15 - ,-feature 203 - feature 82 - ,-1 - 5 - ,-resource_type 8 - ,-severity_type 2 - ,1
16576,location 853,-event_type 11 - ,-feature 54 - feature 170 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,1
3857,location 834,-event_type 11 - event_type 15 - ,-feature 82 - feature 203 - ,-15 - 9 - ,-resource_type 8 - ,-severity_type 1 - ,2
16583,location 348,-event_type 35 - event_type 20 - ,-feature 301 - feature 219 - feature 134 - ,-2 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
17339,location 234,-event_type 11 - event_type 34 - ,-feature 211 - feature 160 - ,-1 - 2 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,1
15194,location 283,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-3 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
10161,location 1007,-event_type 54 - event_type 15 - ,-feature 80 - ,-1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - ,0
11737,location 615,-event_type 20 - event_type 11 - ,-feature 171 - feature 104 - feature 219 - feature 55 - feature 21 - feature 134 - ,-21 - 10 - 17 - 42 - 2 - 20 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - ,0
17252,location 118,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-19 - 22 - ,-resource_type 2 - ,-severity_type 2 - ,0
17424,location 402,-event_type 35 - event_type 34 - ,-feature 307 - feature 95 - feature 232 - feature 233 - feature 312 - feature 313 - ,-2 - 1 - 1 - 1 - 2 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
5764,location 629,-event_type 20 - ,-feature 219 - feature 134 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
11686,location 945,-event_type 20 - event_type 11 - ,-feature 81 - feature 134 - feature 202 - ,-3 - 1 - 4 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,1
17187,location 798,-event_type 15 - ,-feature 82 - feature 203 - ,-32 - 17 - ,-resource_type 8 - ,-severity_type 2 - ,1
5169,location 1099,-event_type 11 - ,-feature 202 - feature 191 - feature 70 - feature 81 - ,-2 - 1 - 2 - 4 - ,-resource_type 8 - ,-severity_type 1 - ,0
3760,location 899,-event_type 42 - event_type 43 - event_type 44 - ,-feature 368 - feature 283 - feature 291 - feature 376 - feature 290 - ,-1 - 2 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,0
16116,location 126,-event_type 34 - event_type 35 - ,-feature 235 - feature 233 - feature 313 - feature 315 - feature 312 - feature 307 - feature 232 - ,-3 - 4 - 4 - 3 - 6 - 2 - 6 - ,-resource_type 2 - ,-severity_type 2 - ,0
5121,location 236,-event_type 34 - event_type 11 - ,-feature 277 - feature 160 - feature 278 - feature 211 - ,-1 - 2 - 1 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,0
14038,location 973,-event_type 20 - ,-feature 134 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - ,0
17034,location 102,-event_type 34 - event_type 35 - ,-feature 234 - feature 230 - feature 232 - feature 315 - feature 228 - feature 313 - feature 310 - feature 308 - feature 235 - feature 312 - feature 314 - feature 233 - ,-1 - 3 - 2 - 1 - 3 - 1 - 3 - 3 - 1 - 2 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
16965,location 734,-event_type 15 - event_type 11 - event_type 54 - ,-feature 203 - feature 193 - feature 71 - feature 82 - ,-11 - 1 - 6 - 20 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,1
16946,location 497,-event_type 34 - event_type 35 - ,-feature 233 - feature 307 - feature 227 - feature 232 - feature 313 - feature 312 - feature 315 - ,-49 - 2 - 1 - 171 - 45 - 126 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
3842,location 1027,-event_type 21 - ,-feature 220 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - ,0
6978,location 149,-event_type 35 - event_type 34 - ,-feature 227 - feature 312 - feature 232 - feature 233 - feature 307 - feature 313 - ,-9 - 19 - 23 - 36 - 10 - 40 - ,-resource_type 2 - ,-severity_type 2 - ,0
15292,location 498,-event_type 35 - event_type 34 - ,-feature 312 - feature 234 - feature 313 - feature 236 - feature 235 - feature 233 - feature 315 - feature 314 - feature 316 - feature 232 - ,-3 - 24 - 48 - 1 - 4 - 40 - 17 - 20 - 4 - 3 - ,-resource_type 2 - ,-severity_type 2 - ,0
14428,location 499,-event_type 35 - event_type 34 - ,-feature 315 - feature 233 - feature 313 - ,-2 - 2 - 3 - ,-resource_type 2 - ,-severity_type 2 - ,0
13698,location 810,-event_type 54 - event_type 15 - ,-feature 56 - feature 203 - feature 82 - feature 71 - ,-1 - 1 - 13 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
15951,location 734,-event_type 11 - event_type 15 - ,-feature 201 - feature 203 - feature 82 - feature 193 - feature 80 - feature 71 - ,-2 - 21 - 46 - 6 - 2 - 6 - ,-resource_type 8 - ,-severity_type 1 - ,2
7283,location 222,-event_type 34 - event_type 35 - ,-feature 232 - feature 307 - feature 312 - feature 227 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
9362,location 400,-event_type 34 - event_type 35 - event_type 20 - ,-feature 134 - feature 219 - feature 221 - feature 301 - ,-1 - 1 - 1 - 2 - ,-resource_type 2 - ,-severity_type 1 - ,1
16942,location 155,-event_type 35 - event_type 34 - event_type 20 - ,-feature 312 - feature 134 - feature 301 - feature 232 - feature 219 - ,-12 - 1 - 2 - 9 - 2 - ,-resource_type 2 - ,-severity_type 1 - ,0
13751,location 767,-event_type 13 - event_type 11 - ,-feature 68 - feature 273 - ,-3 - 2 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - ,0
7796,location 416,-event_type 34 - event_type 35 - ,-feature 301 - feature 221 - ,-3 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
12090,location 921,-event_type 15 - ,-feature 82 - feature 203 - ,-32 - 2 - ,-resource_type 8 - ,-severity_type 2 - ,1
10721,location 1042,-event_type 15 - ,-feature 82 - feature 203 - ,-10 - 2 - ,-resource_type 8 - ,-severity_type 2 - ,1
16151,location 704,-event_type 15 - ,-feature 80 - feature 82 - feature 201 - feature 203 - ,-1 - 1 - 1 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,0
16089,location 721,-event_type 11 - ,-feature 155 - feature 170 - feature 209 - ,-9 - 8 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,2
15350,location 1018,-event_type 15 - ,-feature 76 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - ,0
3119,location 509,-event_type 34 - event_type 35 - ,-feature 232 - feature 314 - feature 312 - ,-2 - 2 - 9 - ,-resource_type 2 - ,-severity_type 2 - ,0
7503,location 1010,-event_type 11 - ,-feature 157 - feature 73 - feature 42 - ,-5 - 2 - 5 - ,-resource_type 8 - ,-severity_type 1 - ,1
15878,location 601,-event_type 11 - event_type 14 - ,-feature 54 - ,-1 - ,-resource_type 8 - resource_type 4 - ,-severity_type 4 - ,0
6098,location 504,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - ,0
14995,location 147,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,1
8036,location 1014,-event_type 13 - ,-feature 345 - feature 273 - ,-1 - 1 - ,-resource_type 6 - ,-severity_type 1 - ,0
3772,location 613,-event_type 15 - event_type 54 - ,-feature 63 - feature 82 - ,-3 - 4 - ,-resource_type 8 - ,-severity_type 2 - ,0
5304,location 1019,-event_type 15 - ,-feature 203 - feature 82 - ,-2 - 8 - ,-resource_type 8 - ,-severity_type 2 - ,1
6598,location 496,-event_type 34 - event_type 35 - ,-feature 234 - feature 227 - feature 307 - feature 228 - feature 94 - feature 308 - feature 313 - feature 233 - feature 314 - feature 232 - feature 229 - feature 312 - feature 309 - ,-15 - 2 - 4 - 4 - 1 - 4 - 28 - 40 - 18 - 86 - 7 - 75 - 10 - ,-resource_type 2 - ,-severity_type 2 - ,0
8600,location 91,-event_type 34 - event_type 35 - ,-feature 312 - feature 313 - feature 232 - feature 233 - ,-2 - 1 - 2 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
8947,location 818,-event_type 11 - ,-feature 103 - feature 170 - feature 54 - feature 20 - ,-30 - 24 - 51 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
4254,location 1018,-event_type 11 - event_type 15 - ,-feature 193 - feature 71 - feature 201 - feature 80 - ,-1 - 2 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,0
1441,location 549,-event_type 20 - event_type 11 - event_type 54 - ,-feature 219 - feature 55 - feature 171 - feature 134 - ,-1 - 7 - 7 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - ,0
6448,location 475,-event_type 35 - event_type 34 - ,-feature 234 - feature 314 - ,-1 - 3 - ,-resource_type 2 - ,-severity_type 2 - ,0
16374,location 460,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - feature 228 - feature 233 - feature 235 - feature 230 - ,-4 - 4 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
17841,location 763,-event_type 15 - ,-feature 71 - feature 82 - feature 193 - ,-3 - 2 - 2 - ,-resource_type 8 - ,-severity_type 2 - ,0
15895,location 889,-event_type 20 - ,-feature 134 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - ,0
13025,location 250,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
1271,location 410,-event_type 35 - ,-feature 315 - feature 313 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - ,0
4285,location 102,-event_type 35 - event_type 34 - ,-feature 232 - feature 228 - feature 312 - feature 230 - ,-4 - 1 - 5 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
18395,location 846,-event_type 15 - ,-feature 82 - feature 203 - ,-20 - 8 - ,-resource_type 8 - ,-severity_type 2 - ,0
938,location 1107,-event_type 15 - ,-feature 82 - feature 71 - ,-2 - 1 - ,-resource_type 8 - ,-severity_type 2 - ,2
15310,location 909,-event_type 13 - event_type 11 - ,-feature 273 - feature 170 - feature 54 - ,-1 - 1 - 1 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - ,0
10601,location 488,-event_type 34 - event_type 35 - ,-feature 232 - feature 313 - feature 312 - feature 233 - feature 307 - feature 301 - ,-9 - 2 - 20 - 1 - 8 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
11739,location 95,-event_type 35 - event_type 34 - ,-feature 230 - feature 308 - feature 310 - feature 228 - ,-10 - 8 - 8 - 10 - ,-resource_type 2 - ,-severity_type 2 - ,0
8799,location 505,-event_type 34 - event_type 35 - ,-feature 315 - feature 313 - feature 233 - feature 312 - feature 232 - feature 235 - ,-1 - 1 - 1 - 70 - 72 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
11306,location 494,-event_type 34 - event_type 35 - ,-feature 315 - feature 233 - feature 235 - feature 312 - feature 232 - feature 313 - ,-9 - 31 - 7 - 74 - 61 - 39 - ,-resource_type 2 - ,-severity_type 2 - ,0
9682,location 815,-event_type 11 - ,-feature 167 - feature 101 - feature 51 - ,-18 - 7 - 19 - ,-resource_type 8 - ,-severity_type 1 - ,1
4410,location 445,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-15 - 15 - ,-resource_type 2 - ,-severity_type 2 - ,0
3035,location 1088,-event_type 11 - event_type 13 - ,-feature 273 - feature 68 - ,-2 - 2 - ,-resource_type 6 - resource_type 8 - ,-severity_type 1 - ,1
12839,location 705,-event_type 11 - ,-feature 170 - feature 54 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - ,1
9887,location 469,-event_type 34 - event_type 35 - ,-feature 232 - feature 313 - feature 314 - feature 315 - feature 312 - feature 228 - feature 308 - feature 233 - feature 235 - feature 230 - feature 310 - ,-31 - 23 - 2 - 3 - 33 - 32 - 33 - 24 - 2 - 10 - 19 - ,-resource_type 2 - ,-severity_type 2 - ,0
10320,location 357,-event_type 34 - ,-feature 227 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - ,0
7048,location 447,-event_type 20 - event_type 34 - event_type 35 - ,-feature 227 - feature 219 - feature 134 - feature 232 - feature 301 - feature 307 - feature 312 - ,-2 - 1 - 1 - 5 - 1 - 2 - 5 - ,-resource_type 2 - ,-severity_type 1 - ,1
15494,location 1,-event_type 11 - event_type 15 - ,-feature 56 - feature 172 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 1 - ,0
18463,location 229,-event_type 20 - event_type 34 - ,-feature 134 - feature 219 - feature 232 - feature 227 - feature 221 - ,-1 - 1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - ,1
8406,location 877,-event_type 29 - event_type 26 - ,-feature 349 - feature 132 - ,-3 - 3 - ,-resource_type 9 - ,-severity_type 1 - ,0
