11066,location 481,-event_type 35 - event_type 34 - ,-feature 230 - feature 310 - feature 228 - feature 308 - ,-24 - 28 - 20 - 26 - ,-resource_type 2 - ,-severity_type 2 - 
9094,location 429,-event_type 35 - event_type 34 - ,-feature 307 - feature 232 - feature 313 - feature 233 - feature 227 - feature 312 - ,-1 - 2 - 1 - 1 - 1 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
12237,location 506,-event_type 11 - event_type 34 - event_type 35 - ,-feature 316 - feature 236 - feature 234 - feature 314 - feature 185 - feature 309 - feature 181 - ,-1 - 1 - 15 - 16 - 2 - 2 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
16254,location 653,-event_type 15 - event_type 11 - ,-feature 203 - feature 80 - feature 201 - feature 82 - ,-31 - 5 - 1 - 44 - ,-resource_type 8 - ,-severity_type 1 - 
15597,location 124,-event_type 34 - event_type 35 - ,-feature 315 - feature 232 - feature 227 - feature 312 - feature 235 - feature 313 - feature 233 - feature 307 - ,-2 - 2 - 1 - 3 - 2 - 3 - 3 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
17575,location 662,-event_type 11 - ,-feature 206 - feature 85 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
14785,location 826,-event_type 23 - ,-feature 223 - feature 306 - ,-1 - 1 - ,-resource_type 7 - ,-severity_type 4 - 
7994,location 657,-event_type 23 - ,-feature 223 - feature 306 - ,-1 - 1 - ,-resource_type 7 - ,-severity_type 4 - 
10407,location 1019,-event_type 15 - ,-feature 203 - feature 82 - ,-7 - 14 - ,-resource_type 8 - ,-severity_type 2 - 
8550,location 332,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - 
6877,location 846,-event_type 15 - ,-feature 203 - feature 82 - ,-10 - 12 - ,-resource_type 8 - ,-severity_type 2 - 
9375,location 834,-event_type 15 - ,-feature 82 - feature 203 - ,-30 - 28 - ,-resource_type 8 - ,-severity_type 2 - 
13304,location 468,-event_type 34 - event_type 35 - ,-feature 312 - feature 307 - feature 227 - feature 232 - ,-3 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
4193,location 242,-event_type 35 - event_type 34 - ,-feature 229 - feature 314 - feature 234 - feature 312 - feature 309 - feature 232 - ,-40 - 84 - 69 - 43 - 55 - 42 - ,-resource_type 2 - ,-severity_type 2 - 
3665,location 239,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-2 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
15501,location 891,-event_type 11 - ,-feature 55 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
13960,location 814,-event_type 11 - ,-feature 70 - feature 191 - ,-3 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
4874,location 1099,-event_type 11 - ,-feature 202 - feature 81 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
15468,location 506,-event_type 35 - event_type 34 - ,-feature 232 - feature 233 - feature 312 - feature 313 - feature 315 - ,-104 - 2 - 85 - 2 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
15525,location 474,-event_type 35 - event_type 34 - ,-feature 233 - feature 235 - feature 315 - feature 313 - ,-1 - 2 - 2 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
16496,location 957,-event_type 11 - ,-feature 55 - feature 171 - feature 70 - feature 191 - ,-1 - 2 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
14415,location 886,-event_type 13 - event_type 11 - event_type 18 - ,-feature 68 - feature 323 - feature 243 - feature 273 - ,-1 - 1 - 1 - 1 - ,-resource_type 10 - resource_type 6 - resource_type 8 - ,-severity_type 1 - 
4262,location 962,-event_type 15 - ,-feature 82 - ,-38 - ,-resource_type 8 - ,-severity_type 2 - 
7005,location 837,-event_type 23 - ,-feature 306 - ,-2 - ,-resource_type 7 - ,-severity_type 4 - 
18301,location 794,-event_type 11 - event_type 23 - event_type 14 - ,-feature 47 - feature 306 - feature 163 - ,-4 - 1 - 5 - ,-resource_type 8 - resource_type 7 - resource_type 4 - ,-severity_type 1 - 
6075,location 846,-event_type 15 - ,-feature 203 - feature 82 - ,-4 - 10 - ,-resource_type 8 - ,-severity_type 2 - 
15414,location 118,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-24 - 24 - ,-resource_type 2 - ,-severity_type 2 - 
18,location 126,-event_type 34 - event_type 35 - ,-feature 307 - feature 315 - feature 313 - feature 233 - feature 232 - feature 227 - feature 312 - feature 235 - ,-5 - 4 - 10 - 10 - 33 - 2 - 24 - 4 - ,-resource_type 2 - ,-severity_type 2 - 
15529,location 155,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-27 - 19 - ,-resource_type 2 - ,-severity_type 2 - 
14250,location 246,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-5 - 6 - ,-resource_type 2 - ,-severity_type 2 - 
5443,location 704,-event_type 15 - ,-feature 82 - feature 203 - ,-18 - 7 - ,-resource_type 8 - ,-severity_type 2 - 
2619,location 723,-event_type 11 - ,-feature 54 - feature 170 - ,-2 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
6359,location 101,-event_type 34 - event_type 35 - ,-feature 232 - feature 227 - feature 312 - feature 307 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
9825,location 758,-event_type 11 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
15009,location 9,-event_type 15 - event_type 11 - ,-feature 71 - feature 193 - ,-9 - 12 - ,-resource_type 8 - ,-severity_type 1 - 
9227,location 39,-event_type 10 - event_type 11 - ,-feature 38 - feature 153 - feature 171 - feature 55 - feature 152 - feature 39 - feature 154 - ,-2 - 3 - 2 - 4 - 1 - 1 - 1 - ,-resource_type 3 - resource_type 8 - ,-severity_type 1 - 
17931,location 1019,-event_type 15 - ,-feature 82 - feature 203 - ,-12 - 10 - ,-resource_type 8 - ,-severity_type 2 - 
12345,location 960,-event_type 13 - event_type 11 - ,-feature 345 - feature 54 - ,-2 - 2 - ,-resource_type 8 - resource_type 6 - ,-severity_type 1 - 
10194,location 244,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-3 - 2 - ,-resource_type 2 - ,-severity_type 2 - 
15115,location 326,-event_type 34 - event_type 35 - ,-feature 312 - feature 315 - feature 232 - ,-1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
13150,location 465,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-5 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
12416,location 468,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-25 - 21 - ,-resource_type 2 - ,-severity_type 2 - 
1460,location 495,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-16 - 16 - ,-resource_type 2 - ,-severity_type 2 - 
1268,location 155,-event_type 35 - event_type 34 - event_type 20 - ,-feature 134 - feature 301 - feature 312 - feature 232 - feature 219 - ,-1 - 1 - 7 - 7 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
3069,location 465,-event_type 34 - event_type 35 - ,-feature 307 - feature 312 - feature 232 - ,-1 - 45 - 44 - ,-resource_type 2 - ,-severity_type 2 - 
8141,location 961,-event_type 11 - ,-feature 170 - feature 54 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 4 - 
6558,location 793,-event_type 11 - ,-feature 195 - feature 73 - ,-4 - 6 - ,-resource_type 8 - ,-severity_type 1 - 
12374,location 175,-event_type 35 - event_type 34 - ,-feature 313 - feature 235 - feature 233 - feature 315 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
5582,location 296,-event_type 20 - event_type 35 - event_type 11 - ,-feature 134 - feature 301 - feature 219 - feature 312 - feature 181 - feature 307 - ,-4 - 4 - 4 - 5 - 1 - 4 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
2532,location 469,-event_type 34 - event_type 35 - ,-feature 315 - feature 233 - feature 232 - feature 235 - feature 313 - feature 312 - ,-4 - 2 - 3 - 2 - 2 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
13263,location 714,-event_type 13 - event_type 11 - ,-feature 68 - feature 273 - feature 345 - ,-1 - 1 - 1 - ,-resource_type 8 - resource_type 6 - ,-severity_type 1 - 
12732,location 520,-event_type 11 - event_type 35 - event_type 34 - ,-feature 160 - feature 312 - feature 232 - ,-1 - 6 - 6 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
13275,location 296,-event_type 35 - ,-feature 307 - feature 313 - feature 312 - ,-1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 4 - 
1738,location 472,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-3 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
10107,location 809,-event_type 15 - ,-feature 193 - feature 71 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
13582,location 179,-event_type 34 - ,-feature 227 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
17709,location 1107,-event_type 15 - event_type 11 - ,-feature 193 - feature 71 - feature 82 - feature 203 - ,-2 - 10 - 25 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
14421,location 282,-event_type 35 - ,-feature 301 - feature 95 - feature 307 - feature 312 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 4 - 
467,location 1052,-event_type 11 - event_type 15 - ,-feature 203 - feature 82 - ,-20 - 32 - ,-resource_type 8 - ,-severity_type 1 - 
15255,location 468,-event_type 34 - event_type 35 - ,-feature 235 - feature 233 - feature 312 - feature 307 - feature 232 - ,-1 - 1 - 4 - 1 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
1820,location 838,-event_type 11 - ,-feature 171 - feature 55 - feature 84 - feature 205 - ,-2 - 8 - 5 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
17445,location 648,-event_type 23 - event_type 11 - event_type 22 - ,-feature 303 - feature 54 - feature 306 - feature 170 - ,-2 - 1 - 2 - 1 - ,-resource_type 8 - resource_type 7 - ,-severity_type 1 - 
8207,location 1072,-event_type 11 - ,-feature 191 - feature 70 - ,-2 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
6190,location 1078,-event_type 11 - ,-feature 195 - feature 73 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
12274,location 742,-event_type 11 - event_type 54 - event_type 15 - ,-feature 172 - feature 56 - ,-1 - 1 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
921,location 1054,-event_type 11 - ,-feature 195 - feature 73 - ,-6 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
8861,location 834,-event_type 15 - event_type 11 - ,-feature 82 - feature 203 - ,-8 - 10 - ,-resource_type 8 - ,-severity_type 1 - 
5332,location 469,-event_type 35 - event_type 34 - ,-feature 233 - feature 232 - feature 235 - feature 313 - feature 315 - feature 312 - ,-2 - 56 - 2 - 2 - 5 - 55 - ,-resource_type 2 - ,-severity_type 2 - 
2982,location 638,-event_type 42 - event_type 44 - ,-feature 291 - feature 283 - feature 376 - feature 368 - ,-6 - 7 - 22 - 22 - ,-resource_type 2 - ,-severity_type 1 - 
6706,location 599,-event_type 15 - ,-feature 82 - feature 203 - ,-26 - 8 - ,-resource_type 8 - ,-severity_type 2 - 
3892,location 243,-event_type 35 - event_type 34 - ,-feature 234 - feature 229 - feature 312 - feature 309 - feature 232 - feature 314 - ,-59 - 85 - 48 - 86 - 49 - 62 - ,-resource_type 2 - ,-severity_type 2 - 
17332,location 468,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-7 - 5 - ,-resource_type 2 - ,-severity_type 2 - 
14901,location 126,-event_type 35 - event_type 34 - ,-feature 227 - feature 312 - feature 307 - feature 235 - feature 315 - feature 313 - feature 232 - feature 233 - ,-4 - 41 - 5 - 4 - 4 - 8 - 50 - 6 - ,-resource_type 2 - ,-severity_type 2 - 
2603,location 1111,-event_type 11 - ,-feature 86 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
5447,location 599,-event_type 15 - ,-feature 71 - ,-2 - ,-resource_type 8 - ,-severity_type 2 - 
16375,location 676,-event_type 11 - ,-feature 171 - feature 55 - ,-8 - 7 - ,-resource_type 8 - ,-severity_type 1 - 
11010,location 1007,-event_type 20 - ,-feature 134 - feature 219 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
8664,location 318,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-7 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
370,location 135,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
9360,location 1052,-event_type 15 - ,-feature 82 - feature 80 - ,-2 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
10845,location 157,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-5 - 6 - ,-resource_type 2 - ,-severity_type 2 - 
14900,location 809,-event_type 11 - event_type 15 - ,-feature 71 - feature 193 - ,-58 - 26 - ,-resource_type 8 - ,-severity_type 1 - 
7746,location 710,-event_type 11 - ,-feature 177 - feature 60 - ,-2 - 1 - ,-resource_type 8 - ,-severity_type 2 - 
5001,location 507,-event_type 34 - event_type 35 - ,-feature 312 - feature 315 - feature 233 - feature 313 - feature 232 - ,-21 - 2 - 2 - 2 - 21 - ,-resource_type 2 - ,-severity_type 2 - 
16884,location 891,-event_type 11 - ,-feature 73 - feature 195 - ,-5 - 8 - ,-resource_type 8 - ,-severity_type 1 - 
15954,location 923,-event_type 11 - ,-feature 195 - feature 73 - ,-7 - 4 - ,-resource_type 8 - ,-severity_type 1 - 
12115,location 721,-event_type 11 - event_type 4 - ,-feature 87 - feature 3 - feature 209 - ,-1 - 1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
545,location 881,-event_type 11 - event_type 14 - ,-feature 54 - feature 170 - ,-7 - 1 - ,-resource_type 4 - resource_type 8 - ,-severity_type 2 - 
3156,location 1029,-event_type 11 - ,-feature 171 - feature 55 - ,-4 - 4 - ,-resource_type 8 - ,-severity_type 1 - 
4514,location 7,-event_type 11 - ,-feature 191 - feature 70 - ,-4 - 6 - ,-resource_type 8 - ,-severity_type 1 - 
14726,location 790,-event_type 23 - event_type 11 - ,-feature 54 - feature 223 - feature 306 - feature 170 - ,-3 - 1 - 5 - 2 - ,-resource_type 8 - resource_type 7 - ,-severity_type 1 - 
6352,location 892,-event_type 43 - event_type 44 - event_type 42 - ,-feature 291 - feature 290 - feature 283 - feature 376 - feature 368 - feature 375 - ,-30 - 11 - 31 - 8 - 8 - 27 - ,-resource_type 2 - ,-severity_type 1 - 
3606,location 1097,-event_type 11 - ,-feature 54 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
7739,location 145,-event_type 35 - event_type 11 - event_type 34 - ,-feature 94 - feature 44 - feature 278 - feature 354 - feature 353 - feature 211 - feature 277 - feature 160 - ,-2 - 4 - 2 - 2 - 2 - 2 - 2 - 4 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
229,location 995,-event_type 11 - event_type 15 - ,-feature 193 - feature 82 - feature 203 - feature 201 - feature 80 - feature 71 - ,-4 - 24 - 10 - 1 - 2 - 7 - ,-resource_type 8 - ,-severity_type 1 - 
5766,location 926,-event_type 11 - ,-feature 182 - feature 209 - feature 170 - ,-1 - 7 - 10 - ,-resource_type 8 - ,-severity_type 1 - 
11448,location 919,-event_type 11 - ,-feature 55 - feature 202 - feature 81 - ,-1 - 2 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
16817,location 1112,-event_type 11 - ,-feature 87 - feature 206 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
10671,location 1084,-event_type 11 - ,-feature 54 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
14589,location 371,-event_type 35 - ,-feature 313 - feature 315 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 4 - 
18292,location 480,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
8977,location 326,-event_type 35 - event_type 34 - ,-feature 228 - feature 308 - feature 310 - feature 230 - ,-2 - 2 - 1 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
11803,location 700,-event_type 11 - ,-feature 54 - feature 170 - ,-3 - 1 - ,-resource_type 8 - ,-severity_type 4 - 
694,location 826,-event_type 11 - event_type 54 - ,-feature 170 - feature 54 - ,-3 - 3 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
17349,location 500,-event_type 34 - event_type 35 - ,-feature 315 - feature 312 - feature 233 - feature 313 - feature 235 - ,-3 - 1 - 4 - 4 - 4 - ,-resource_type 2 - ,-severity_type 2 - 
11991,location 976,-event_type 11 - ,-feature 80 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
4358,location 818,-event_type 11 - ,-feature 54 - feature 170 - ,-11 - 12 - ,-resource_type 8 - ,-severity_type 1 - 
667,location 469,-event_type 34 - event_type 35 - ,-feature 312 - feature 233 - feature 232 - feature 315 - feature 313 - ,-43 - 2 - 40 - 2 - 4 - ,-resource_type 2 - ,-severity_type 2 - 
3449,location 73,-event_type 10 - event_type 11 - event_type 28 - ,-feature 154 - feature 212 - feature 171 - feature 55 - feature 35 - feature 150 - ,-1 - 2 - 4 - 3 - 1 - 2 - ,-resource_type 8 - resource_type 9 - resource_type 3 - ,-severity_type 1 - 
10633,location 1050,-event_type 22 - ,-feature 303 - ,-1 - ,-resource_type 7 - ,-severity_type 4 - 
8318,location 466,-event_type 35 - event_type 34 - ,-feature 314 - feature 234 - ,-8 - 8 - ,-resource_type 2 - ,-severity_type 2 - 
9826,location 124,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - feature 235 - feature 233 - feature 315 - feature 313 - ,-5 - 5 - 3 - 3 - 3 - 3 - ,-resource_type 2 - ,-severity_type 2 - 
2351,location 477,-event_type 34 - event_type 35 - ,-feature 314 - feature 229 - feature 234 - feature 309 - ,-33 - 4 - 20 - 16 - ,-resource_type 2 - ,-severity_type 2 - 
6043,location 480,-event_type 35 - event_type 34 - event_type 20 - ,-feature 310 - feature 230 - feature 228 - feature 308 - feature 134 - ,-39 - 33 - 32 - 36 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
14663,location 460,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-4 - 4 - ,-resource_type 2 - ,-severity_type 2 - 
9957,location 794,-event_type 54 - event_type 14 - event_type 23 - event_type 11 - event_type 20 - ,-feature 47 - feature 306 - feature 219 - feature 163 - feature 134 - ,-2 - 1 - 1 - 2 - 1 - ,-resource_type 8 - resource_type 2 - resource_type 4 - resource_type 7 - ,-severity_type 1 - 
2463,location 653,-event_type 54 - event_type 15 - ,-feature 203 - feature 82 - ,-2 - 2 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
17326,location 738,-event_type 11 - event_type 54 - ,-feature 196 - feature 74 - ,-2 - 2 - ,-resource_type 8 - resource_type 2 - ,-severity_type 1 - 
3905,location 653,-event_type 15 - event_type 11 - ,-feature 82 - feature 203 - ,-10 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
14717,location 566,-event_type 11 - ,-feature 171 - feature 55 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
9189,location 696,-event_type 11 - ,-feature 54 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
8171,location 704,-event_type 15 - ,-feature 203 - feature 82 - ,-14 - 30 - ,-resource_type 8 - ,-severity_type 2 - 
10552,location 155,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-14 - 14 - ,-resource_type 2 - ,-severity_type 2 - 
11475,location 793,-event_type 11 - ,-feature 195 - feature 73 - ,-45 - 56 - ,-resource_type 8 - ,-severity_type 1 - 
13309,location 496,-event_type 34 - event_type 35 - ,-feature 312 - feature 307 - feature 233 - feature 313 - feature 227 - feature 232 - ,-155 - 13 - 55 - 53 - 3 - 162 - ,-resource_type 2 - ,-severity_type 2 - 
13867,location 892,-event_type 42 - event_type 43 - event_type 44 - ,-feature 368 - feature 375 - feature 291 - feature 290 - feature 376 - feature 283 - ,-10 - 7 - 4 - 3 - 10 - 4 - ,-resource_type 2 - ,-severity_type 1 - 
15472,location 842,-event_type 21 - ,-feature 135 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - 
12565,location 845,-event_type 15 - ,-feature 82 - ,-6 - ,-resource_type 8 - ,-severity_type 2 - 
4017,location 325,-event_type 35 - ,-feature 310 - feature 315 - feature 308 - feature 313 - ,-1 - 1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 4 - 
14950,location 638,-event_type 42 - event_type 44 - ,-feature 283 - feature 291 - feature 376 - feature 368 - ,-2 - 3 - 2 - 3 - ,-resource_type 2 - ,-severity_type 1 - 
13244,location 155,-event_type 35 - event_type 20 - ,-feature 219 - feature 301 - feature 134 - ,-1 - 1 - 1 - ,-resource_type 2 - ,-severity_type 1 - 
6259,location 892,-event_type 43 - event_type 44 - event_type 42 - ,-feature 375 - feature 376 - feature 368 - feature 283 - feature 291 - ,-3 - 3 - 3 - 3 - 2 - ,-resource_type 2 - ,-severity_type 1 - 
8542,location 760,-event_type 54 - event_type 11 - ,-feature 54 - feature 170 - ,-11 - 6 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
530,location 638,-event_type 44 - event_type 42 - ,-feature 376 - feature 368 - feature 291 - feature 283 - ,-16 - 16 - 2 - 4 - ,-resource_type 2 - ,-severity_type 1 - 
13519,location 532,-event_type 10 - event_type 11 - event_type 20 - ,-feature 171 - feature 219 - feature 35 - feature 134 - feature 154 - feature 55 - ,-2 - 1 - 1 - 1 - 1 - 3 - ,-resource_type 8 - resource_type 2 - resource_type 3 - ,-severity_type 1 - 
13552,location 1019,-event_type 15 - event_type 11 - ,-feature 201 - feature 82 - feature 203 - feature 80 - ,-1 - 4 - 3 - 5 - ,-resource_type 8 - ,-severity_type 1 - 
8116,location 1033,-event_type 11 - ,-feature 68 - feature 54 - feature 170 - ,-1 - 1 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
9053,location 707,-event_type 26 - event_type 15 - ,-feature 276 - feature 193 - feature 71 - ,-1 - 3 - 5 - ,-resource_type 8 - resource_type 9 - ,-severity_type 2 - 
7730,location 684,-event_type 15 - event_type 11 - ,-feature 82 - feature 71 - ,-62 - 8 - ,-resource_type 8 - ,-severity_type 1 - 
17247,location 641,-event_type 42 - event_type 44 - ,-feature 368 - feature 283 - feature 376 - feature 291 - ,-16 - 4 - 16 - 3 - ,-resource_type 2 - ,-severity_type 1 - 
8761,location 135,-event_type 35 - event_type 34 - ,-feature 233 - feature 313 - feature 232 - feature 315 - feature 312 - ,-4 - 4 - 9 - 1 - 9 - ,-resource_type 2 - ,-severity_type 2 - 
14520,location 755,-event_type 11 - ,-feature 171 - ,-2 - ,-resource_type 8 - ,-severity_type 1 - 
10749,location 480,-event_type 34 - event_type 35 - ,-feature 230 - feature 310 - feature 228 - feature 308 - ,-33 - 32 - 30 - 31 - ,-resource_type 2 - ,-severity_type 2 - 
7492,location 700,-event_type 11 - ,-feature 54 - feature 68 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
17394,location 118,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-22 - 23 - ,-resource_type 2 - ,-severity_type 2 - 
17188,location 839,-event_type 11 - ,-feature 170 - feature 54 - ,-10 - 10 - ,-resource_type 8 - ,-severity_type 1 - 
11830,location 646,-event_type 11 - ,-feature 80 - feature 82 - feature 203 - feature 201 - ,-4 - 2 - 2 - 3 - ,-resource_type 8 - ,-severity_type 1 - 
18171,location 318,-event_type 35 - event_type 34 - ,-feature 312 - feature 232 - ,-2 - 1 - ,-resource_type 2 - ,-severity_type 2 - 
4300,location 1029,-event_type 11 - ,-feature 173 - feature 161 - ,-1 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
1198,location 963,-event_type 11 - ,-feature 73 - feature 109 - feature 195 - ,-7 - 5 - 6 - ,-resource_type 8 - ,-severity_type 1 - 
16739,location 653,-event_type 15 - ,-feature 82 - feature 80 - feature 203 - ,-8 - 1 - 3 - ,-resource_type 8 - ,-severity_type 2 - 
6960,location 704,-event_type 15 - event_type 11 - ,-feature 82 - feature 80 - feature 201 - feature 71 - ,-8 - 1 - 1 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
5667,location 1100,-event_type 15 - ,-feature 71 - feature 82 - ,-1 - 34 - ,-resource_type 8 - ,-severity_type 2 - 
11770,location 1008,-event_type 15 - event_type 11 - ,-feature 82 - feature 203 - feature 80 - feature 201 - ,-25 - 5 - 5 - 5 - ,-resource_type 8 - ,-severity_type 1 - 
17522,location 520,-event_type 34 - event_type 35 - ,-feature 232 - feature 312 - ,-8 - 9 - ,-resource_type 2 - ,-severity_type 2 - 
7447,location 124,-event_type 34 - event_type 35 - ,-feature 312 - feature 233 - feature 235 - feature 313 - feature 232 - feature 315 - ,-4 - 6 - 4 - 6 - 4 - 4 - ,-resource_type 2 - ,-severity_type 2 - 
17289,location 603,-event_type 11 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
6035,location 923,-event_type 11 - ,-feature 68 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
2611,location 34,-event_type 11 - ,-feature 55 - feature 171 - ,-6 - 4 - ,-resource_type 8 - ,-severity_type 1 - 
12687,location 684,-event_type 15 - ,-feature 203 - feature 82 - ,-21 - 82 - ,-resource_type 8 - ,-severity_type 2 - 
8302,location 1086,-event_type 15 - ,-feature 82 - feature 203 - feature 80 - ,-24 - 3 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
16853,location 1082,-event_type 11 - ,-feature 68 - feature 171 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 1 - 
2378,location 921,-event_type 15 - ,-feature 82 - ,-1 - ,-resource_type 8 - ,-severity_type 2 - 
18045,location 834,-event_type 15 - ,-feature 203 - feature 82 - ,-4 - 10 - ,-resource_type 8 - ,-severity_type 2 - 
1417,location 931,-event_type 11 - event_type 15 - ,-feature 82 - feature 201 - feature 80 - feature 203 - ,-30 - 11 - 14 - 25 - ,-resource_type 8 - ,-severity_type 1 - 
12019,location 460,-event_type 35 - event_type 34 - ,-feature 232 - feature 312 - ,-7 - 7 - ,-resource_type 2 - ,-severity_type 2 - 
14833,location 596,-event_type 20 - ,-feature 219 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - 
17451,location 344,-event_type 34 - event_type 35 - event_type 11 - event_type 20 - ,-feature 219 - feature 312 - feature 134 - feature 44 - feature 181 - feature 232 - ,-1 - 2 - 1 - 1 - 1 - 1 - ,-resource_type 2 - resource_type 8 - ,-severity_type 1 - 
1853,location 296,-event_type 35 - ,-feature 312 - ,-1 - ,-resource_type 2 - ,-severity_type 4 - 
10864,location 845,-event_type 15 - event_type 11 - ,-feature 203 - feature 82 - ,-2 - 8 - ,-resource_type 8 - ,-severity_type 1 - 
1230,location 510,-event_type 11 - ,-feature 160 - ,-1 - ,-resource_type 8 - ,-severity_type 1 - 
13928,location 1095,-event_type 11 - ,-feature 169 - feature 53 - ,-2 - 1 - ,-resource_type 8 - ,-severity_type 1 - 
8690,location 663,-event_type 20 - ,-feature 219 - ,-1 - ,-resource_type 2 - ,-severity_type 1 - 
4796,location 846,-event_type 15 - ,-feature 203 - feature 82 - ,-1 - 2 - ,-resource_type 8 - ,-severity_type 2 - 
11247,location 465,-event_type 34 - event_type 35 - ,-feature 312 - feature 232 - ,-22 - 22 - ,-resource_type 2 - ,-severity_type 2 - 
